,1,2,3,4,5,6,7,8,9,10,11,12
0,2.681217476,2.317515253,2.09426148,1.957904983,1.858035175,1.794657702,1.732447977,1.6878009,1.642089844,1.61393018,1.591607751,1.566850136
0.005,2.705549922,2.352852181,2.146370125,2.015787063,1.931050044,1.864720825,1.811697646,1.770132706,1.738686512,1.716067048,1.696921586,1.676893821
0.01,2.753870754,2.411045066,2.213526911,2.096494965,2.019214875,1.955609235,1.913807799,1.888495073,1.870865565,1.852941753,1.843748018,1.838757767
0.015,2.810427761,2.464321977,2.28143039,2.173470822,2.107216441,2.055822347,2.027458465,2.01279916,2.006280631,2.006970085,2.012840407,2.02409867
0.02,2.849163682,2.530451833,2.359658633,2.261290796,2.207512561,2.170898088,2.151504382,2.155746038,2.16352865,2.183595926,2.205291587,2.236799098
0.025,2.891767913,2.597220738,2.432768549,2.34689016,2.313463537,2.294895891,2.294276858,2.312312857,2.347463049,2.388023972,2.433083013,2.493238323
0.03,2.935985225,2.662574847,2.514178261,2.439510851,2.417980454,2.426739364,2.446852414,2.494138385,2.545231769,2.620102263,2.71283106,2.802021368
0.035,2.986873669,2.724477077,2.604016332,2.533689339,2.539087211,2.568684503,2.620176447,2.69636841,2.782409367,2.903607982,3.041962302,3.194690039
0.04,3.033483558,2.792869621,2.695802887,2.643565535,2.675674548,2.723338312,2.810983981,2.924218448,3.064871336,3.233582856,3.432480121,3.659491281
0.045,3.090922644,2.860807143,2.783419921,2.761601051,2.820441255,2.898520119,3.028129098,3.185754442,3.395146652,3.623250544,3.927788187,4.26817793
0.05,3.14418099,2.929780896,2.875106749,2.885312107,2.974656168,3.093188054,3.269287071,3.484294037,3.768391082,4.094932751,4.52238968,5.028129569
0.055,3.186838233,3.02057095,2.97077845,3.021586839,3.14536027,3.310013263,3.539350301,3.83081301,4.212767979,4.679313291,5.294410545,6.047557367
0.06,3.239292871,3.096903854,3.08382785,3.156156991,3.320886321,3.549085971,3.849900303,4.229603041,4.747472166,5.393331847,6.298743419,7.456468545
0.065,3.296821825,3.180031593,3.192632751,3.310992498,3.520611173,3.811443615,4.204994647,4.714792594,5.40245093,6.330115753,7.629114321,9.418239235
0.07,3.344103834,3.263768158,3.310929092,3.464317695,3.738417095,4.098687445,4.604450186,5.270080706,6.174272996,7.472221081,9.442051948,12.22297381
0.075,3.416796864,3.354701153,3.436991474,3.646619228,3.971933633,4.425320293,5.058586417,5.950460078,7.184689566,8.98947341,11.8919817,16.51916762
0.08,3.470358329,3.44437314,3.565363677,3.83449208,4.226802162,4.795456505,5.595809958,6.752360876,8.425315803,11.07109917,15.46010309,23.26949994
0.085,3.534689923,3.538966905,3.699504437,4.034639012,4.500378956,5.217517084,6.243499527,7.776632826,10.0131317,13.85854425,20.7840988,34.42310185
0.09,3.598216891,3.637434573,3.835621552,4.248418736,4.826964017,5.690221014,6.998439686,8.979380947,12.1229038,17.60051576,29.06870215,54.18241583
0.095,3.6516301,3.731150508,3.993931009,4.47357238,5.192222855,6.226107469,7.871726288,10.49567984,14.9650583,23.11168991,42.34601658,92.09856192
0.1,3.712345769,3.83089572,4.139973133,4.726739169,5.58298154,6.837228907,8.919401871,12.36270485,18.7068962,31.73027053,65.02204663,170.022146
0.105,3.778993858,3.945354823,4.316872194,5.012983059,6.003089046,7.537636279,10.16891363,14.90524367,23.78661433,45.35103831,105.9645873,343.5698039
0.11,3.849556907,4.058768485,4.484985644,5.309365794,6.476868199,8.432601831,11.70124212,17.99922076,31.14369831,66.23748422,184.8134302,744.0567891
0.115,3.913253219,4.176958062,4.675516754,5.590866554,6.98812055,9.410706139,13.5797517,22.25441525,41.61081381,100.8904351,340.5316048,1671.449436
0.12,3.979207092,4.307243232,4.888009222,5.922230639,7.595800733,10.5970362,15.86204246,27.53724327,56.85100767,159.4104214,649.5352167,3974.709558
0.125,4.050362568,4.426555206,5.094453054,6.322213991,8.282508499,11.91587539,18.73671476,34.60146178,79.56432505,260.883762,1271.939646,10431.98986
0.13,4.133482418,4.538328922,5.300390626,6.747810527,9.049265166,13.42946861,22.32340764,44.60658535,115.6597091,441.7475228,2590.877262,55100.67839
0.135,4.210661045,4.668232775,5.563699825,7.197640929,9.929311232,15.26116026,26.97873817,58.57473506,170.9236615,768.7014818,5491.735598,1317397.178
0.14,4.271155096,4.812882849,5.81713999,7.666162733,10.87966707,17.28814614,32.79365128,77.81873617,260.9644137,1372.671583,12749.37078,3066247.403
0.145,4.348133037,4.965741508,6.063660641,8.178052592,11.99410627,19.83232131,40.23588055,105.692104,404.0691141,2460.626024,43984.00165,4510515.066
0.15,4.428856248,5.108950885,6.337978336,8.746464247,13.21360504,22.90997616,50.16666034,145.511756,636.6550622,4516.085751,985688.7966,5512187.795
0.155,4.513801142,5.267833729,6.634417038,9.365147295,14.66428395,26.62405439,62.829039,202.1491651,999.1415109,8557.005051,2590932.373,6332200.111
0.16,4.599339204,5.420618886,6.957817038,10.1104101,16.32856893,31.10875966,79.25571509,286.1265314,1632.230213,17926.35245,4011664.289,7010243.152
0.165,4.681675095,5.591371036,7.307389171,10.84672478,18.17845444,36.6780792,101.0467849,409.4421125,2644.919003,56948.87682,5216162.366,7800564.588
0.17,4.779561253,5.764195404,7.647702472,11.7273308,20.38743287,43.61053431,131.0459386,589.7384772,4299.807559,786186.4932,6210139.887,8741414.686
