,1,2,3,4,5,6,7,8,9,10,11,12
0,2.681217476,2.317515253,2.09426148,1.957904983,1.858035175,1.794657702,1.732447977,1.6878009,1.642089844,1.61393018,1.591607751,1.566850136
0.005,2.713946107,2.366807527,2.161482666,2.03432014,1.95065594,1.890339578,1.842726724,1.80460557,1.771587022,1.755664605,1.739165424,1.723530716
0.01,2.782897805,2.445242348,2.251832848,2.143391306,2.075903324,2.0202802,1.986390939,1.966161537,1.96043463,1.954285662,1.957787822,1.961923785
0.015,2.846421063,2.510857584,2.344826877,2.248388059,2.202179441,2.163051605,2.150822438,2.151272565,2.164144076,2.194355034,2.224417112,2.267003005
0.02,2.906880656,2.607214832,2.451169168,2.369990993,2.343411597,2.333443174,2.342346316,2.389005909,2.436257491,2.513461525,2.593004223,2.707436889
0.025,2.948580238,2.683775902,2.556270381,2.505572715,2.507735186,2.535473652,2.58995402,2.681746186,2.790976847,2.940740918,3.141228896,3.385786566
0.03,3.015258602,2.780684238,2.676469804,2.648264947,2.692696832,2.774334438,2.892445231,3.08006787,3.314115003,3.706059258,4.23777728,5.269057334
0.035,3.082032771,2.869453761,2.807101856,2.809790623,2.909281552,3.063490107,3.300338284,3.648570993,4.210149082,5.297950727,8.456714368,62052.58346
0.04,3.146183685,2.967224798,2.946894933,3.010566971,3.179952385,3.44894929,3.895539404,4.683655846,6.552536841,21.19702079,1148349.979,3294653.722
0.045,3.202583398,3.067147403,3.103007959,3.221027073,3.490619628,3.949643989,4.809329003,6.993655928,54.27642491,1668670.059,4214090.652,5864816.687
0.05,3.272161529,3.186142476,3.266684994,3.488602048,3.906257045,4.738833395,6.835248689,37.49736033,1999904.956,4835950.704,6648952.505,7742596.483
0.055,3.346516211,3.302275314,3.461426628,3.787029616,4.452382719,6.002900568,14.51777019,1398029.042,4657152.981,7037835.559,8429834.449,9257169.437
0.06,3.420265259,3.44957453,3.67405088,4.167396526,5.285769287,9.120477656,533224.8385,4198356.799,7220830.736,8815023.221,9898788.129,10593510.74
0.065,3.508988615,3.571985645,3.905641645,4.653718216,6.540045938,22.47472117,2807313.701,6636119.46,8970656.346,10206026.35,11147192.51,11707459.44
0.07,3.589524281,3.729591509,4.194809822,5.304320062,9.034759758,588160.6877,5391408.615,8710218.813,10511879.85,11509670.55,12288702.38,12655030.86
0.075,3.685933816,3.88001139,4.513240419,6.18116717,15.94683144,2759137.511,7757489.666,10265758.29,11718911.76,12590925.73,13212314.97,13494907.36
0.08,3.760797199,4.057101073,4.902606044,7.558918045,930.6754477,5194821.816,9739692.297,11781798.19,12945518.08,13652116.75,13990978.79,14181701.25
0.085,3.861161524,4.248882745,5.350176595,9.502920515,1133713.883,7511126.59,11249595.11,12921458.6,14008761.68,14447514.95,14718835.68,14824801.03
0.09,3.947835989,4.465304615,5.987101489,13.98079715,3405373.011,9682388.728,12694935.47,14139000.48,14947999.73,15356534.76,15415024.19,15442593.12
0.095,4.061060826,4.70034364,6.721662981,29.0049122,5810356.09,11539422.64,13867487.69,15095304.21,15692909.75,15974692.59,16031534.98,15948896.35
0.1,4.166656506,4.957430638,7.682376803,70574.9322,8210168.031,13178323.49,15173455.88,15985496.69,16462144.67,16559911.74,16677336.51,16499149.04
0.105,4.263781546,5.192225633,9.030298421,1227199.05,10244762.71,14515231.69,16243406.83,16821536.43,17115671.91,17210207.82,17196456.96,17013687.34
0.11,4.372114377,5.507740447,10.8043696,3062305.303,12291978.91,15936391.89,17166888.4,17633860.09,17818084.32,17799440.48,17654804.38,17523040.79
0.115,4.489933904,5.833490539,13.58095247,5120978.41,14117319.98,17065852.48,18042909.75,18411644.55,18456360.87,18377531.21,18118897.83,17863604.58
0.12,4.616811866,6.266625411,18.81504544,7497168.362,15819443.5,18224049.13,18944094.04,19127100.48,19012699.68,18947863.76,18597163.46,18196137.55
0.125,4.738071177,6.70212944,29.03167563,9811774.238,17266420.3,19108777.41,19770292.55,19855973.35,19606879.89,19320224.96,18962901.83,18617761.68
0.13,4.889158198,7.200135154,83.84035751,12269390.31,18836419.5,20193590.37,20629657.59,20519600.32,20154160.18,19840986.22,19412049.64,18954039.51
0.135,5.022426281,7.769699915,128474.7923,14273290.31,20140801.65,21060174.98,21309037.57,21102170.58,20714189.52,20253944.36,19629513.44,19156485.61
0.14,5.154339226,8.406078615,989474.8343,16247611.03,21208963.8,21997464.52,21932182.89,21656455.71,21264146.62,20595176.59,19974158.38,19409035.29
0.145,5.271741092,9.117754256,2669262.624,17975638.89,22393073.18,22791774.72,22611485.76,22173280.03,21642511.07,21087978.94,20335915.8,19740486.34
0.15,5.390627148,9.917209339,4926266.038,19971529.25,23580290.45,23603152.57,23341725.76,22817789.87,22252043.89,21410563.29,20662880.18,19960799.16
0.155,5.529729936,10.98673301,7002339.338,21664861.44,24590076.59,24538659.73,23934477.57,23395144.86,22598791.77,21793923.58,20917268.22,20089262.23
0.16,5.722319966,12.13612609,8807883.487,23069090.12,25400832.87,25200973.69,24514452.84,23794670.32,22965034.23,22105654.87,21150215.02,20189069.56
0.165,5.892123597,13.39692152,10983849.1,24699411.74,26292691.3,25925242.12,25087490.8,24269960.81,23405435.18,22535102.94,21510510.85,20444570.65
0.17,6.04062096,15.25644284,13362501.86,26152606.63,26968715.84,26746529.41,25591956.5,24760726.32,23719340.97,22733506.97,21682218.62,20646743.72
0.175,6.185213186,17.17090319,15500290.26,27416745.49,27776249.2,27252792.55,26050699.16,25057791.14,23936212.85,22851984.22,21866132.36,20792826.83
0.18,6.346993822,19.81363028,17374069.4,28783227.75,28637459.57,27871928.19,26472468.31,25239309.29,24108699.35,22922549.16,21788588.53,20656417.08
0.185,6.526261198,22.80418652,19326069,29747238.76,29177567.06,28393153.1,26871992.26,25589156.77,24338221.23,23022440.42,21719018.11,20557585.26
0.19,6.708788457,27.24824695,21179476.78,30770628.46,30072641.81,29065434.84,27409711.07,25938217.12,24590396.86,23076592.12,21664856.9,20440449.37
0.195,6.880469984,33.06763415,23054734.18,31927834.55,30816389.33,29677248.64,28038811.07,26416814.25,25011465.98,23363601.19,21792344.12,20473161.34
0.2,7.081268992,43.15276251,24955268.3,32987234.08,31589756.06,30209145.62,28479737.53,26862871.63,25342253.74,23553937.7,21972663.42,20518684.91
0.205,7.2419591,57.68093405,26819502.35,34214290.87,32542615.78,30816431.1,28919956.46,27142348.31,25663911.73,23833744.99,22223478.55,20632841.77
0.21,7.478207064,86.30020624,28565723.88,35097881.59,33383597.79,31528845.39,29318820.95,27462757.91,25771602.66,23952390.4,22260666.07,20734816.74
0.215,7.687745832,166.0795871,30106962.09,36206661.15,34132621.55,31992587.29,29810677.16,27695975.73,25801303.29,24007814.84,22204847.15,20668726.6
0.22,7.904085091,3019.490793,32398395.34,37610560.47,34987599.3,32557957.04,30146345.35,27827457.07,25808491.51,24003580.96,22102815.64,20566906.11
0.225,8.093360237,305459.4715,34017258.02,38486357.62,35829305.2,33142770.63,30735851.95,28185290.96,25907179.97,23995660.65,22070503.46,20427270.86
0.23,8.276732528,1108346.153,35668110.68,39693155.51,36506962.74,33730016.11,31112985.55,28457040.48,26098210.96,23987273.07,22024592.41,20262850.09
0.235,8.475102602,1961047.465,37210551.39,40716775.97,37462349.23,34317943.27,31677557.95,28760862.02,26378677.37,24140280.09,22101394.46,20357455.76
0.24,8.718141942,3349735.72,38995006.39,41432486.4,38195885.2,34845558.63,32067257.27,29108085.78,26498819.05,24315004.94,22297034.15,20404686.29
0.245,8.91046829,4562731.063,40593260.61,42306693.53,38786061.66,35374625.37,32498024.53,29581306.64,26874522.32,24567184.65,22440675.36,20594034.32
0.25,9.10385403,6383204.188,42181186.51,43037348.19,39302307.84,35665310.89,32737174.36,29786416.06,27092430.12,24716822.89,22490131.22,20542284.1
0.255,9.310858757,8009256.993,43555414.56,44173751.59,39770100.54,35965849.89,32974453.12,30036838.33,27194027.51,24786444.03,22497910.59,20542882.07
0.26,9.531282934,9507083.218,44812908.16,44835000.26,40381486.97,36137116.87,33078961.98,29983133.17,27169806.28,24774221.08,22438897.63,20430377.84
0.265,9.805863879,10995976.44,46606192,45683866.35,40868855.39,36573275.26,33167186.69,29929409.09,27199507.91,24737960.94,22453095.69,20406984.46
0.27,10.1325871,13083072.79,48381071.27,46587004.86,41558846.43,36807726.39,33140581.86,29988068.53,27103954.66,24574370.08,22322524.26,20349679.22
0.275,10.42308536,14707267.06,49806633.93,47448914.92,42172092.52,37213605.74,33327783.4,29880917.22,26998737.5,24391936.42,22199433.8,20286057.52
0.28,10.78721813,16281181.04,51185890.9,48106331.82,42668316.51,37438266.64,33479621.52,29926214.67,26904295.34,24329095.95,22088917.25,20072769.31
0.285,11.11041013,18203715.07,52696712.07,48968896.85,43283872.17,37983128.19,33744790.7,30089846.76,26897932.36,24265401.5,21974077.03,19941499.18
0.29,11.3728737,20365909.73,54280178.98,49845637.41,43981235.86,38414433.57,33819181.7,30081953.82,26916827.8,24178334.9,21879238.13,19760784.53
0.295,11.71474673,22613715.33,55584517.04,50529756.88,44693080.21,38960694.22,34131835.85,30326490.26,26938549.49,24198541.54,21892815.89,19687765.45
0.3,11.97090891,24625654,57087920.95,51128361.09,45257566.1,39528610.87,34568287.08,30394328.15,26950072.65,24083350.86,21743098.31,19607737.62
0.305,12.2349934,27020749.72,58880830.22,52338541.62,46086520.36,39974305.38,34742965.5,30637283.76,27005977.99,24091827.46,21729044.98,19638559.02
0.31,12.49324063,28827061.98,60559598.25,53165379.07,46926977.68,40522778.82,35194489.22,30819172.77,27062850.61,24213613.53,21743436.14,19667273.17
0.315,12.84747796,31658539.16,62556869.41,54018178.02,47403584.27,40970192.19,35675517.65,30998516.9,27340312.06,24362700.91,21766345.7,19640268.1
0.32,13.19162571,34282673.35,64091738.6,55236999.73,48012129.79,41321026.66,36123108.8,31343827.94,27623226.94,24482540.56,21916666.17,19754662.39
0.325,13.4813154,37172498.76,65504893.2,56269033.72,48665457.85,41919374.36,36344032.4,31533138.13,27972186.74,24699698.18,22079969.78,19839753.13
0.33,13.79303347,38959824.06,66567367.22,56966262.18,49113992.15,42092541.68,36666255.28,31680223.28,27941220.81,24797622.63,22196707.28,19932128.37
0.335,14.22098949,41038294.28,68258915.36,58057092.35,49667335.85,42549325.77,36946618.24,31876641.2,28112298.17,24955599.72,22344476.85,20103535.44
0.34,14.50918924,43045545.52,69215732.31,58598878.12,49802971.04,42971738.04,37029156.99,31780689.03,28034543.83,24927702.87,22397629.3,20062844.15
0.345,14.93275127,45218886.14,70566772.81,59190520.08,50313930.68,43068602.97,37212488.4,31998958.46,28061336.67,25044378.75,22325387.47,20130443.2
0.35,15.26707257,46229216.98,72104251.72,59863420.61,50805550.17,43123299.12,37242987.7,32006462.88,28180547.88,24946444.65,22379384.51,20091858.36
0.355,15.70031059,49367564.23,73529015.53,60795140.54,51271818.84,43324452.54,37185509.28,32049390.94,28249796.92,24997137.56,22293689.46,20079636.08
0.36,15.9777718,51269256.06,74932770.26,61673055.57,51684934,43470536.89,37457998.96,32186625.42,28340030.49,25086689.56,22280101.74,20020059.84
0.365,16.41144339,52426132.82,76235102.7,62497754.54,52046304.57,44005627.9,37517982.16,32128599.73,28220192.09,24974404.03,22235238.26,19970235.86
0.37,16.77727285,55686599.82,77451600.14,63607212.52,52404072.27,43954117.39,37447281.18,32148717.04,28294304.34,24928795.64,22232066.61,19916193.11
0.375,17.06866002,58486054.04,78668448.01,64315771.51,53310846.43,44455739.49,37560259.51,32225115.98,28298351,24961085.42,22280300.72,19974028.13
0.38,17.29783654,60575823.1,80056282.56,64955016.43,53757751.15,44688381.92,37706004.38,32255996.93,28267146.47,25058339.06,22279183.64,19933128.86
0.385,17.60423544,62460199.64,81336165.27,65747772,54262656.02,44968470.52,37979800.86,32403863.88,28335765.05,24917436.75,22290185.5,19916126.93
0.39,18.08468648,64423547.46,82598983.21,66518988.33,54753587.02,45147583.49,37922589.34,32443489.63,28373708.42,24961431.89,22255551.97,19909460.98
0.395,18.46629395,66485216.24,83711763.02,67659439.53,55394514.33,45855647.1,38261889.47,32631776.16,28497235.77,25026503.23,22370200.53,19921186.87
0.4,18.81935784,69520093.84,85737790.79,68629202.3,56060973.35,45973911.93,38543895.7,32805104.29,28595644.32,25118387.3,22333935.61,19986704.31
0.405,19.17973866,72693906.38,87081060.4,69482702.68,56643014.66,46528520.22,38968785.87,33028958.92,28707872.61,25128694.66,22392469,20062566.83
0.41,19.71898246,74460697.27,89246731.53,71075134.01,57685898.94,47014106.19,39226399.5,33193247.74,28749455.94,25208577.03,22488720.26,20159500.69
0.415,20.02604164,76853178.48,90724915.27,72408111.17,58196016.69,47581814.51,39655471.64,33459018.18,29015451.87,25336645.12,22594025.1,20266923.61
0.42,20.46004271,80060899.46,91735536.95,73552735.51,58869565.57,48043864.06,39998394.04,33814073.55,29282093.6,25648800.23,22699343.9,20424974.5
0.425,20.88475741,81957531.81,93598642.88,74984890.99,59923572.53,48639330.56,40256174.26,34286997.32,29444533.97,25948158.88,22968636.71,20584499.08
0.43,21.14794087,84657346.78,94645878.29,75998330.19,60713681.37,49221776.52,40736634.55,34737196.24,29846205.88,26145617.57,23074911.82,20702466.87
0.435,21.66881635,86586277.81,95815322.31,77002086.59,61658806.18,49967625.14,41460936.23,34982365.01,30137156.42,26422880.76,23367732.35,20912555.58
0.44,22.08211378,88175848.58,97423589.58,77758204.03,62290144.24,50657213.88,41849638.01,35317237.22,30460793.76,26629930.83,23543772.08,20955739.85
0.445,22.38452705,90068427.92,98832955.51,78688889.49,63127553,51161412.72,42499527.64,35706897.37,30867818.43,26975300.37,23745279.6,21196545.33
0.45,22.90179707,92735634.86,100158940.3,79586877.01,63677586.05,51606264.31,42916384.3,36115775.05,31107854.94,27333498.17,24031726.49,21378647.53
0.455,23.15754573,95358282.16,101639455.7,81115302.06,64489170.32,52227890.67,43337113.64,36578369.53,31420854.22,27474320.33,24166309.65,21587938.38
0.46,23.56709345,96876620.92,102824385.8,81693892.89,65122837.52,52644076.82,43617184.58,36953730.31,31703720.37,27703473.48,24388989.28,21750234.29
0.465,24.08328615,100183468.9,104663990.3,82955484.7,65906344.17,53542183.81,44218410.23,37268883.51,31993162.18,27888693.15,24593287.09,21977964.3
0.47,24.5367375,102439234.7,105593235.7,83743376.76,66393671.48,53965186.29,44588749.5,37715140.85,32440609.78,28240986,24802135.23,22095732.63
0.475,24.73068724,104093358.4,107100501,84880713.24,67107070.28,54402892.9,45089796.17,38013917.73,32633748.87,28511891.08,25017364.06,22269222.79
0.48,25.13245676,108607968,108992940.3,85607038.48,67366818,54837865.04,45446255.42,38251564.4,32808762.84,28676108.25,25233454,22498279.16
0.485,25.60662105,110855182.3,109918875.3,86323466.91,67845721.52,55173519.58,45730788.23,38597187.24,33214829.78,28988552.12,25323138.23,22539929.77
0.49,25.80060024,112987722.5,110978162.5,86570753.77,68524936.3,55722447.75,46141472.96,38874288,33369179.24,29025084.28,25407946.68,22717047.7
0.495,26.01035195,115153463.9,112424371,87663145.04,69299776.51,56257825.19,46535658.39,39113858.1,33672045.7,29283948.13,25724435.73,22895925.89
0.5,26.37424527,116380579.6,113734338.6,88289303.89,70000767.69,56512655.42,46876375.32,39358850.08,33701600.7,29516966.23,25831356.9,23014497.06
0.505,27.12266172,118223440.6,115532520.2,89487153.47,70939973.4,56901559.97,47257157.18,39645081.28,33958999.78,29675582.85,26031505.26,23173776.73
0.51,27.3634077,120719753.5,116694329.7,90098720.26,71241215.8,57364534.81,47704428.49,39842814.65,34178022.91,29792148.96,26188043.3,23331453.55
0.515,28.20399707,123804835.9,118133362.4,91385046.15,72048769.46,57859284.54,48133267.15,40274812.32,34519135.41,30209437.22,26387862.6,23509974.87
0.52,28.7139189,127118909.8,119468586.1,91552511.93,72853175.8,58261934.2,48140046.31,40401484.87,34766012.25,30267690.13,26477575.53,23586933.21
0.525,28.93382839,128547151.5,120905187,92434411.53,73572267.56,58803183.25,48488128.89,40640260.04,34924774.28,30304057.4,26536248.96,23682366.35
0.53,29.37707581,129518286.4,122634928.2,93350091.53,73605435.5,58978182.71,48813604.94,41017502.71,35085628.83,30548192.1,26694293.82,23733544.55
0.535,29.82240697,133532793.6,124266402.2,94508326.88,74398347.72,59483083.9,49179912.19,41350758.47,35345660.3,30723247.48,27052525.07,23861115.09
0.54,30.57778811,136341885.4,126065834.3,95540908.35,75116669.1,59916415.69,49305546.09,41349374.25,35424336.35,30703220.89,26832435.91,23938600.45
0.545,31.00153896,138614623,127930386.2,96765081.15,75786464.32,60285715.01,49570802.27,41615435.94,35612473.43,30803565.97,27046685.99,24053417.18
0.55,31.64816136,142635110.4,129302171.6,97767219.61,76379381.88,60833668.13,49768279.14,41805806.2,35737700.65,31056803.3,27120156.88,24133176.78
0.555,32.07695028,144864821.7,131171785.1,98432732.91,76661405.27,61208447.27,50232676.19,41985423.97,35919701.84,31170198.84,27158089.38,24240340.31
0.56,32.45843932,148117876,133451165.2,99192663.65,77470881.15,61382895.55,50440230.12,42058701.34,36062412.83,31381297.38,27335354.88,24372303.71
0.565,33.36294123,151401697.8,135120621.4,100504312.3,78210615.91,61880524.53,50648499.78,42451461.79,36399408.07,31500728.35,27548890.41,24444813.93
0.57,34.14924854,154019005.3,138982258.2,102390573.7,78899541.81,62333220.09,50928366.09,42640831.18,36684122.04,31745867.01,27692144.59,24632307.71
0.575,34.47754481,157690052.2,140071276.3,103167707.8,79745082.62,63082002.55,51415304.79,42947283.36,36684938.15,31960271.01,27869759.8,24749814.42
0.58,34.98399892,160810329.6,142099217.3,103831616.9,80370396.97,63616769.49,51672913.05,43228026.44,37007172.93,31981067.14,27906958.67,24808770.25
0.585,35.77655698,162946360.2,143210738,105356359.9,81682238.77,63843320.21,52238081.39,43599913.87,37157168.9,32304928.98,28159343,25008235.3
0.59,36.80449604,166709654.2,145589119.2,106453010.5,82383861.35,64716131.31,52589520,43767655.74,37380146.97,32478669.82,28308722.24,25160296.02
0.595,37.06554148,168659950.8,147755590.9,107052076.1,83125846.76,65010547.55,52917560.64,44217922.79,37468635.75,32681839.99,28556478.67,25320850.92
0.6,37.6344571,171092617.3,148744895,108855493.2,83865421.72,65399760.6,53242698.35,44445419.23,37590134.08,32732387.07,28724414.02,25516443.04
0.605,38.44868527,175724855.8,151518280.5,109858737.3,85074434.8,66283565.37,53681495.54,44804158.42,38054478.78,33084008.09,28898707.57,25716372.89
0.61,38.92762439,178570741.2,154629259.7,110928803.1,85573669.24,66688400.7,54014565.99,45018068.81,38444806.52,33243018.25,29058685.8,25843834.1
0.615,39.94986753,182095584.7,156097250,112286728,86183912.29,67157935.57,54742448.13,45566769.61,38624534.27,33548231.46,29346330.95,26038515.47
0.62,40.36463135,185885255.7,158073089,114231135.5,86703767.6,67807381.79,54928680.26,45669792.76,38709897.47,33665480.43,29318171.14,26190968.22
0.625,41.49635989,187972171.9,160619699.7,115102978.5,87685043.92,67968324.93,55464705.1,45781066.96,38890158.3,33725986.98,29385486.07,26188930.06
0.63,42.25490096,191720810.8,162214258.7,115608346.6,88450167.97,68797043.6,55929923.17,45833569.75,39067236.16,33747035.55,29524959.92,26381809.59
0.635,43.0591717,192203671.6,164276028.9,117141581.2,88706961.86,69696338,56158912.73,46230089.18,39269974.56,34116672.53,29765286.16,26388653.37
0.64,43.61900071,197808073.2,167451599.9,118506053.5,89588148.06,70008430.82,56701371.99,46611714.18,39555310.24,34340965.92,29980487.94,26592596.99
0.645,44.22056895,201665936.5,169313255.6,119694655.8,90331962.16,70562385.46,57297441.78,47075057.87,39740479.89,34543186.12,30216470.93,26951146.62
0.65,45.1679052,204635270.9,171697758,121153178,91339944.77,71147535.8,57731020.48,47280490.79,39847521.42,34769334.98,30412823.74,26984181.86
0.655,45.51390092,208594289.2,174450869.9,123652581.4,92641502.56,71798027.06,58151165.13,47713362.83,40220928.12,35011019.93,30691798.24,27185676.11
0.66,46.20346406,213142160.2,176525484.6,124197663.2,93865248.47,72368159.02,58449679.88,47933779.73,40373263.7,35206895.5,30887233.41,27301223.37
0.665,47.51064101,217592022.8,178146390.7,125668127.4,95041429.33,73503524.23,59273135.24,48380851.81,40820144.87,35363000.83,31002352.75,27445394.1
0.67,48.33074481,221859958.1,179775506.8,126898036.7,95558520.84,73954484.07,59740865.77,48824597.39,41356324.24,35734538.35,31485930.43,27789264.22
0.675,48.85294203,223792874.4,183257443.8,128385281.7,96436078.05,74417441.44,60149359.59,49207296.82,41841202.02,36215431.56,31605310.37,27945432.9
0.68,49.8091805,227870929.6,184817294,129768633,97138235.38,74742412.01,60546836.36,49693282.56,42213401.66,36508722.87,31704957.37,28284871.23
0.685,50.63975756,232794174.2,187453058.4,132039319.2,98616401.05,75703491.53,60879572.68,49908240.36,42422083.94,36765023.25,32050948.09,28392223.14
0.69,51.19609272,237304514.3,189002613.6,132386979.4,99543228.13,75956887.33,61214188,50323002.84,42824499.11,37063759.69,32330455.49,28581757.34
0.695,51.93055178,243624239.6,191526949.6,134108140.5,100207010.6,76998912.19,62042319.93,50722308.56,43144355.09,37325630.49,32545052.47,28880526.36
0.7,52.64621294,245767908,194199310.4,135806050.9,101842672,77759388.94,62817432.36,51520136.12,43408905.11,37637761.93,32848939.72,29081243.66
0.705,53.87370996,248586308.4,196772157.5,136890697.1,102656767.1,78979335.46,63602166.32,51927881.84,43681862.28,37813352.56,33063995.11,29338689.49
0.71,54.69208141,250894450.4,199781545.4,139538626,104275013.3,79809227.85,64045084.74,52440680.14,44325462.01,38203447.24,33569472.19,29719235.34
0.715,55.90713132,254749247.5,203187886.3,139847291.3,105263915.6,80133217.94,63925208.72,52784410.28,44584209.01,38484249.65,33776253.24,29977514.84
0.72,56.65914208,260231046.5,205787372.4,142232736.9,106656173.5,81282548.29,65038533.1,53430173.57,45001930.13,38853715.82,34033898.23,30231144.25
0.725,57.07425905,260823186.4,206720623.8,142900234.2,107182631.7,81710298.54,65886194.36,54144272,45639240.9,39497761.83,34386716.43,30361201.2
0.73,57.5920219,265390510.8,209957668.4,144428529.9,108632333.7,82396678.88,66225909.69,54613965.36,45980816.19,39810667.07,34605678.29,30657652.68
0.735,58.56280208,267818448.8,212336021.5,146528848.7,109731076.3,83725769.47,67224199.21,55060843.78,46401007.41,40210033.34,34934424.36,30787999.22
0.74,59.3016506,272266625.8,214836745.5,148469065.9,110904798.5,84713289.85,67704312.21,55777069.52,47065711.59,40851845.77,35210033.83,31302517.63
0.745,60.37900314,277241711.3,218735265,149955152.1,111855732.2,85409273.38,68488925.7,56266934.76,47403060.66,40959182.42,35692442.48,31517093.61
0.75,60.72645353,281954898.4,220464521.6,151076456.4,113800206.3,86647908.12,69074425.74,56585265.6,47778137.22,41176578.92,36036934.15,31865735.05
0.755,61.76386592,285364388.6,222958085.1,153287850.4,114942896.4,87669149.34,69467319.55,57195784.41,48113428.93,41738256.54,36378202.19,32257261.97
0.76,62.51828222,288920891.4,227765608.4,155211644.4,116523778.7,89133854.45,70770810.07,57561154.64,48780198.32,42233798.6,36813058.23,32592892.67
0.765,63.23609299,294778052.2,228503539.4,156980552.8,117790506.6,89458318.31,71391880.13,58222696.3,49246502.69,42485239.39,37003849.9,32715602.12
0.77,63.57737038,302182507.5,232447322.2,158926883.9,118374532.5,90678989.54,72344595.05,59179722.9,50002431.33,43046152.65,37399506.54,33182762.5
0.775,64.85810587,306569841.5,236589025.2,159882218.2,119757525,92123469.35,73492126.67,59686383.23,50578791.53,43230447.6,37728856.19,33264123.89
0.78,65.26250234,307885856.9,240412670.5,163524966.5,121205519.3,93026957.8,74391880.16,60473205.75,51204906.48,44155374.36,38414314.04,33805714.59
0.785,65.83272365,314591898.5,241200726.6,165664731.7,121693713.7,94496620.85,75108865.14,61245986.59,51816792.02,44464028.82,38684911.84,34115975.91
0.79,66.96886107,319390843.8,244839071.5,167107238.8,123795088.1,95326192.13,75788763.03,61956711.31,52214415.85,44853302.65,39178352.81,34628880.71
0.795,67.57921294,323355963.5,247531935.4,169759494.6,126173583.8,96961044.36,77214189.18,62786688.23,52982860.56,45546224.13,39521952.67,34921109.04
