,1,2,3,4,5,6,7,8,9,10,11,12
0,3.818652615,3.005383598,2.618506342,2.376784805,2.23780103,2.111129336,2.022120671,1.959190426,1.903711792,1.85734632,1.811876968,1.782907587
0.005,3.883237634,3.095702861,2.719136469,2.483695979,2.348135077,2.237710335,2.160574861,2.108276197,2.066268019,2.031556899,2.000103343,1.978579359
0.01,3.959065587,3.19366022,2.852839029,2.640838618,2.509570404,2.414019266,2.351298563,2.319933082,2.283860299,2.273609866,2.267700383,2.269260136
0.015,4.05674715,3.326411194,2.978462353,2.785071119,2.67721333,2.608943951,2.567111604,2.559119228,2.57214291,2.602874772,2.622432187,2.660970313
0.02,4.155224995,3.446229511,3.129038432,2.954692697,2.881144174,2.83319266,2.845334825,2.875041469,2.929745784,3.018791775,3.131447397,3.244154379
0.025,4.272310064,3.584381693,3.286333159,3.151433493,3.107821315,3.108715395,3.181076912,3.267805172,3.427097405,3.628621397,3.874108597,4.272411379
0.03,4.35662781,3.725583356,3.452673338,3.377101651,3.38318202,3.465420815,3.615617458,3.856586323,4.226806137,4.786918469,5.86425077,8.766516379
0.035,4.442644065,3.869672256,3.641189802,3.628288386,3.69269825,3.88909772,4.201731152,4.735014463,5.883512615,8.694043901,34754.91296,2006040.913
0.04,4.568286947,4.050531962,3.873385302,3.90363466,4.089721431,4.506010732,5.198976987,6.942338869,16.5240924,1155775.834,4295489.925,6530467.226
0.045,4.695227017,4.202992321,4.102300553,4.231476078,4.600184631,5.387247292,7.194581578,20.94039105,1865688.338,5235538.051,7949296.779,9322108.301
0.05,4.808763066,4.387025161,4.386404289,4.670281526,5.365001534,7.066890967,17.63388903,1971589.745,6079982.628,8997217.811,10731716.22,11426580.59
0.055,4.938435755,4.612382385,4.696643023,5.203112853,6.410701069,11.29072679,969426.6497,5655265.794,9260677.52,11479731.86,12483261.27,13098440.95
0.06,5.079528567,4.848933956,5.038437749,5.945340674,8.528606749,284.4845949,4915802.723,9259880.804,12056945.03,13295472.94,14009290.95,14471801.74
0.065,5.233919141,5.104754672,5.432365537,6.935068564,13.51278143,2129609.643,8467961.443,11950524.27,13947550.1,14754122.04,15421448.83,15680694.55
0.07,5.406313033,5.361587933,5.987610416,8.666882388,71.5162223,5828588.126,11535359.13,14299603.93,15721484.47,16121641.45,16585957.35,16677529.63
0.075,5.568499961,5.641773448,6.70743373,11.45200761,1592717.254,9443422.215,14185394.96,16099264.11,17007471.14,17459952.86,17648208.4,17635067.75
0.08,5.75646491,5.994499521,7.632638681,18.25313346,4803065.908,12470712.71,16426962.37,17719742.01,18340356.8,18604313.6,18558137.89,18477841.55
0.085,5.927654677,6.3365136,8.757402554,65.6184711,8167435.25,15313875.7,18074456.88,19052482.38,19430525.41,19488421.09,19302026.33,19120945.49
0.09,6.106174353,6.774806703,10.47570507,1033775.542,11825389.33,17754316.34,19844690.09,20353173.46,20501637.27,20365659.76,20142876.53,19861580.46
0.095,6.280493555,7.242895117,12.9832371,3997694.228,15151688.1,19816642.01,21237673.57,21237506.46,21419902.43,21183629.99,20779128.22,20416509.35
0.1,6.513423408,7.77647069,17.58001531,7546937.778,18188975.89,22161451.12,22568288.09,22387466.84,22184283.85,21850744.01,21459479.56,20896411.63
0.105,6.739682047,8.391503235,27.41321032,11147455.26,20744638.18,23502297.8,23608731.21,23519775.6,23060174.81,22701368.9,22077162.2,21321783.36
0.11,6.942924488,9.099060797,77.7700785,14297688.73,23024448.33,25005492.68,24782896.52,24450484.07,23794734.68,23332574.9,22504029.78,21704216.08
0.115,7.159148496,9.975604261,249333.4673,17452647.48,25058574.96,26195263.28,25837481.62,25169141.38,24561750.42,23826803.01,23038151.77,22151146.83
