,1,2,3,4,5,6,7,8,9,10,11,12
0,3.818652615,3.005383598,2.618506342,2.376784805,2.23780103,2.111129336,2.022120671,1.959190426,1.903711792,1.85734632,1.811876968,1.782907587
0.005,3.866493876,3.071057839,2.69421033,2.456677935,2.319808593,2.202573813,2.123614656,2.067891258,2.019603248,1.983756671,1.948818988,1.918786951
0.01,3.923655923,3.14136938,2.788409864,2.573412826,2.430707119,2.332956976,2.261774608,2.217260577,2.170629011,2.147277431,2.12717051,2.111856241
0.015,3.998870365,3.248509405,2.888576807,2.676678825,2.554829918,2.470958383,2.404188653,2.379679199,2.355457678,2.351981244,2.340518021,2.346085798
0.02,4.074891059,3.346686811,2.995579267,2.796932839,2.68744915,2.616526879,2.574701437,2.558815421,2.55643305,2.579745595,2.596449861,2.620716162
0.025,4.153562943,3.43552052,3.106823862,2.926254951,2.831229488,2.776496547,2.768394465,2.77221725,2.784653731,2.844403576,2.885691555,2.950742038
0.03,4.231449468,3.528444525,3.20758358,3.065024571,2.979722075,2.961721808,2.960475943,2.986777416,3.062560187,3.150162026,3.239743305,3.353492927
0.035,4.299947569,3.633267007,3.327113617,3.210045955,3.151054611,3.147676134,3.194917796,3.257008903,3.374783912,3.524312231,3.668317057,3.852015024
0.04,4.386017316,3.739808689,3.451865977,3.367947761,3.326029596,3.368029794,3.457798142,3.566433101,3.740364543,3.95833959,4.203681984,4.485034175
0.045,4.462796323,3.836335864,3.602302254,3.522196185,3.532050541,3.615875503,3.73674825,3.938137191,4.156774575,4.503099526,4.866226138,5.285707723
0.05,4.531883355,3.940277925,3.747727712,3.701855283,3.730717262,3.892801394,4.07927685,4.351463053,4.681688156,5.135665064,5.71226266,6.329346341
0.055,4.621800986,4.058015269,3.896851425,3.887106405,3.981495121,4.188034645,4.434790921,4.822930719,5.306294196,5.987233195,6.830293705,7.750416162
0.06,4.73310856,4.192407364,4.060141869,4.090001409,4.242986616,4.509145174,4.888317015,5.411297006,6.059124237,7.01412084,8.233274438,9.778769427
0.065,4.854413433,4.335627504,4.228772354,4.325081508,4.522332917,4.873399056,5.403147491,6.097335245,6.976352353,8.326703457,10.18262049,12.68832036
0.07,4.957435842,4.481612909,4.410397737,4.565009029,4.852357827,5.301964082,5.991483586,6.911874223,8.175400405,10.10384402,12.85371237,16.89256212
0.075,5.06303935,4.626100832,4.591352394,4.819934819,5.209665341,5.770840431,6.699401411,7.918960726,9.608038706,12.36851628,16.60892729,23.45878032
0.08,5.176714669,4.772635433,4.792400102,5.096530147,5.613889386,6.304985356,7.524566123,9.106118145,11.5386158,15.41006454,22.16842712,34.50824351
0.085,5.283687956,4.927360519,4.99793502,5.397041685,6.042432545,6.923944301,8.443744939,10.64730538,13.98845563,19.67811931,30.87178078,53.38577144
0.09,5.379312386,5.074437698,5.215467648,5.719025974,6.495620625,7.697683956,9.558309166,12.48595451,17.145403,25.97464294,44.82630129,88.2679456
0.095,5.498646142,5.229298803,5.457954183,6.118829681,7.018934296,8.556242946,10.96360821,14.91501218,21.47240864,35.28883813,67.90495009,158.9762646
0.1,5.612802343,5.389053886,5.736938327,6.502177695,7.63803908,9.589764962,12.60098086,17.92706173,27.62500402,49.19223379,109.1025367,307.58666
0.105,5.726257424,5.550992698,6.007599155,6.923917732,8.310183782,10.65219205,14.62265993,21.97547961,36.79758325,72.21344779,188.6284596,643.0686451
0.11,5.855059226,5.740089299,6.275408597,7.356440531,9.098884948,11.97306485,17.16764011,27.27429951,49.49292889,110.5617508,337.7153295,1412.4549
0.115,5.970492841,5.930374263,6.575949417,7.852973717,9.94025449,13.53308967,20.19154921,34.24776336,68.53570135,174.8888777,628.6855953,3333.927258
0.12,6.091409118,6.128273675,6.877100453,8.391683655,10.93378731,15.39372527,24.05979855,43.88402281,96.00776923,287.8656392,1252.252998,8407.331791
0.125,6.239839808,6.327705088,7.225954009,8.971633846,12.10233334,17.57137028,28.81085946,57.11546567,138.6914676,490.3035185,2560.627109,28461.37998
0.13,6.365448582,6.545630682,7.595173232,9.704334881,13.30263377,20.31829955,35.10876122,75.09351911,207.6383623,850.3399936,5305.585268,1110456.004
0.135,6.49623061,6.751435451,8.019666456,10.44084487,14.73734995,23.36480157,43.53790225,101.1662343,320.249082,1481.359889,11849.16843,3323306.435
0.14,6.646252327,6.971322194,8.438655183,11.25459649,16.37951725,27.08803775,53.76753162,137.1865576,497.7209992,2694.760237,40328.26495,5414739.859
0.145,6.783811712,7.245145764,8.891969551,12.18974654,18.24543269,31.49079052,67.99465114,191.8244045,786.9899044,5029.839018,1021122.678,7046954.376
0.15,6.965608567,7.518110706,9.399268254,13.20491792,20.30456615,37.14603993,86.08291413,267.6148648,1276.70131,9702.144818,3099477.172,8132441.688
0.155,7.121008253,7.823144434,9.944236141,14.2576987,22.90133891,43.83255862,110.6146485,382.0041685,2073.849749,20417.87989,5145041.727,9060459.979
0.16,7.289132683,8.131576915,10.4794889,15.38511158,25.71909146,51.98160738,143.3197091,554.5720481,3343.593309,74701.05695,6779245.011,9966791.233
0.165,7.466695211,8.462029401,11.06422141,16.75959841,29.11461943,62.239117,185.6555327,801.8050142,5456.232512,1231680.429,8065740.69,10917330.66
0.17,7.635303206,8.723552381,11.67093919,18.18627888,33.05973668,75.052574,244.3884381,1180.773261,9132.226722,2960445.651,9225348.286,11910121.7
0.175,7.790975406,9.089650227,12.33483036,19.67001468,37.54088403,91.16653434,321.1074509,1752.014366,16202.65148,4855223.023,9998367.903,12823946.04
0.18,7.976882076,9.402467857,13.05926238,21.47738058,42.71588388,111.3445926,423.8326724,2593.32016,32444.72281,6554076.81,10777640.08,13472566.42
0.185,8.143785441,9.749852848,13.81269611,23.54545055,48.99108165,135.5192836,562.7615937,3868.692214,156979.6615,7844935.251,11326791.61,13838746.81
0.19,8.34506669,10.15301211,14.65008418,25.72597944,56.27344042,166.7064621,756.4669738,5817.510788,1216844.412,9030187.078,12097158.67,14279833.68
0.195,8.51437667,10.54070413,15.52599602,28.26451941,65.11688644,206.1556676,1005.656774,8748.708059,2853151.89,10080889,13047952.82,14815489.31
0.2,8.713174189,10.96323961,16.52223215,31.0384733,75.29844576,256.1182517,1368.922985,13253.06216,4508245.471,10969000.44,13932058.99,15404736.13
0.205,8.903093623,11.35231112,17.5670757,34.04246746,87.46987927,316.5544837,1857.573895,20514.21313,6197416.086,11697340.27,14748892.67,16234024.62
0.21,9.060996366,11.77704573,18.6436574,37.51919409,101.3763178,389.3116293,2501.640793,35196.9464,7588204.583,12376608.08,15310061.48,16790364.03
0.215,9.280414709,12.21859425,19.84231491,41.03688098,118.256795,478.1288732,3380.941642,76497.22439,8976274.354,13043444.27,15726592.52,17258111.83
0.22,9.509066591,12.68785795,21.14127455,45.1608823,137.5918385,595.2690161,4492.213799,571949.6619,10238605.61,13713268.8,16056919.46,17429348.18
0.225,9.735002836,13.18902182,22.61752734,49.75642061,160.7277043,743.7897456,6072.172627,1657796.887,11114815.98,14470933.48,16419064.07,17585922.67
0.23,9.951641384,13.70451952,23.98599715,55.2852049,186.2341724,937.3144501,8256.343788,3154141.755,12048358.08,15258582.66,17005907.65,17948426.9
0.235,10.1427861,14.25342706,25.62890375,60.87495896,216.832367,1168.523804,11358.78422,4791197.329,12800444.95,16073440.17,17727216.6,18447909.34
0.24,10.36088361,14.89384213,27.53719747,67.23079809,252.8487434,1462.437876,15502.43157,6197438.812,13426855.46,16793124.5,18328404.92,19054079.36
0.245,10.66343262,15.52292449,29.34025978,74.75855715,295.2018307,1804.225505,21566.25953,7515498.792,13867598.75,17321212.24,18899450.59,19669381.42
0.25,10.89270077,16.1837405,31.54785602,83.02439984,342.3608647,2245.193889,30919.88351,8754878.915,14336588.65,17797478.25,19510953.14,20114961.62
0.255,11.11053793,16.7627568,33.80549062,92.56553518,398.7857662,2800.144613,46287.87935,9949971.837,14852386.9,18218621.85,19855882.72,20501588.96
