,1,2,3,4,5,6,7,8,9,10,11,12
0,6.639488672,4.618020504,3.825838903,3.321193541,3.038974279,2.82030851,2.667998689,2.521365842,2.443637982,2.361958262,2.285860557,2.214338325
0.005,6.786885656,4.813236243,3.985895522,3.525681719,3.231493212,3.021247489,2.871575783,2.762378824,2.693211712,2.613205402,2.559780736,2.499244023
0.01,6.933544497,5.039565958,4.241640557,3.787500212,3.516757527,3.28841358,3.184509034,3.111388724,3.070941342,3.036693828,2.994381853,2.973139123
0.015,7.099553704,5.305866324,4.499465286,4.052295247,3.803308734,3.668461523,3.597628953,3.548557941,3.517669177,3.513573285,3.557027643,3.603673672
0.02,7.271637614,5.539432232,4.757289398,4.381156117,4.197361331,4.064764353,4.065392706,4.092622808,4.169140239,4.303830968,4.461852339,4.670517803
0.025,7.438101077,5.848270705,5.027326691,4.742095239,4.574381549,4.574557092,4.706045911,4.850105117,5.120389793,5.524661488,6.246906657,7.314379366
0.03,7.642029858,6.16897187,5.397777569,5.163319773,5.155868403,5.295100664,5.561871413,6.133914295,7.104835804,10.51937056,150.0516975,2726297.518
0.035,7.79354564,6.474122835,5.802845059,5.669201619,5.785152852,6.207163858,7.209714543,9.588227323,44.00973268,2678034.154,6843050.792,9652091.314
0.04,8.010257917,6.860794333,6.273599472,6.399583828,6.849988658,8.011989098,12.84565048,913420.1396,6697939.984,10509986.88,13949366.43,15481645.24
0.045,8.22627116,7.246945231,6.892619286,7.30359114,8.454713434,13.01167663,913976.8188,7405899.554,12780136.07,15157269.49,17729686.45,18470883.69
0.05,8.406845142,7.865298529,7.697759472,8.723502658,12.07426011,433268.3878,7591643.873,14315514.64,18083568.86,19953486.01,20777452.93,20582312.24
0.055,8.658074768,8.325169422,8.790374593,10.68193295,36.4706087,6070855.873,14699400.05,18961526.54,21592146.41,22795578.49,22926498.08,22485530.01
0.06,8.975931002,9.063965481,10.28192355,15.80529187,2451518.905,13327951.82,20308353.57,23724472.73,24967452.21,25086406.13,25174143.92,23985477.4
0.065,9.233112374,9.810472418,12.1588386,45.42579192,9627345.235,19340014.42,25108565.86,26362874.72,26683211.08,26526568.43,26109750.69,25059984.16
0.07,9.549675378,10.77008642,15.16332971,2310830.717,17103891.56,24995656.13,28780866.84,29454653.03,28772157.21,28562534.4,27529909.35,26547302.18
0.075,9.825967015,11.61380339,21.896414,8479626.845,23024192.52,30162434.75,31586923.31,31544456.52,30316916.77,29625072.85,28796032.47,27335462.38
0.08,10.1439987,13.06976658,52.16469965,15789295.48,28780150.62,33741244.17,34119588.4,33383251.19,31891813.48,30986717.79,29847451.94,28118509.73
0.085,10.46714081,14.80765039,590297.3102,23558023.86,35109171.96,37877679.23,36337066.16,34748121.07,33165211.42,31638666.07,30416085.68,28887290.37
0.09,10.79815161,17.19107916,4619974.469,32040929.6,38604175.37,40910765.76,38830763.9,36288051.82,34450068.73,32643224.45,31069530.53,29596215.24
0.095,11.07858285,20.27443217,13342458.55,38377507.62,44460273.34,43819010.72,40336031.66,37426514.94,35581417.43,33596224.68,31640058.67,30223728.17
0.1,11.37853061,24.66810196,21922585.04,45460194.3,49045156.97,46483701.63,42521300.22,38914050.61,36541203.11,34469630.97,32415614.7,30846891.51
0.105,11.72428663,32.13740059,27438379.93,50649607.29,50853437.34,48093346.89,43612832.3,40421005.39,37375941.02,35222239.64,33056544.1,31662494.68
0.11,12.13785565,49.42717555,37620765.6,54778767.27,54232430.06,49856180.67,44963260.63,41572528.62,38158105.42,35616170.3,33822803.39,32002229.12
0.115,12.3871758,119.1761605,43830768.37,59405314.19,57083641.24,51213734.04,46595660.74,42709130.49,38956169.78,36374667.74,34218199.93,32705011.47
0.12,12.78686049,927554.7407,53248839.6,63261766.37,59301304.44,53273553.71,47906802.43,43357562.09,39575737.04,37326569.71,34700982.79,33170660.54
0.125,13.18031147,7292257.552,59446115.68,67012194.92,61769270.22,54732759.16,48724478.08,44150678.03,40307656.54,37789662.54,35555880.2,33478595.63
0.13,13.46035891,16471950.73,67752184.4,70772608.34,64123213.71,56484695.36,49731113.5,44780187.42,40763144.75,37726483.58,35968731.9,34004439.44
0.135,13.77450143,28047748.92,73191202.92,73620836.86,66482152.9,57963184.1,51009124.85,45817738.13,41552513.13,38498929.09,36288909.34,34182446.11
0.14,14.20475914,37705270.99,78036238.02,77742275.67,67872609.65,59551757.23,52145294.86,46461060.47,42342158.8,39477874.23,36813274.85,34513635.83
0.145,14.54414096,45884346.88,85540679.37,80708454.18,69406412.79,60501383.93,53465965.16,48011048.62,43341522.65,40365144.7,37262765.47,35021938.83
0.15,15.04654282,56127377.95,92594750.49,83969376.61,72391491.01,62187034.8,54536110.63,48715038.99,43986383.61,41272575.94,37908457.14,35097984.7
0.155,15.38234378,66896116.6,97891794.44,86820567.74,73211377.57,64192384.11,55231659.41,49319021.15,44988248.97,41503952.89,38287253.13,35348643.48
